,Iq_RMS,Id_RMS,Is_RMS,Iq_Pk,Id_Pk,Is_Pk,currentAngle,psiM_RMS,psiD_RMS,psiQ_RMS,psiM_Pk,psiD_Pk,psiQ_Pk,Lq,Ld,Torque(Nm),TopSpeed
0,10.0,-10.0,14.1,14.142135623730951,-14.142135623730951,19.94041122946064,-45.0,0.043159348733418285,0.04199673014477796,0.006292630097347735,0.0610365363219902,0.05939234534606799,0.008899122826666297,0.0006292630097347734,0.0001162618588640321,-5.361858830533251,9181.022262573242
1,10.0,-20.0,22.4,14.142135623730951,-28.284271247461902,31.67838379715733,-63.4,0.04315934806876273,0.040838557761382455,0.006464665766952418,0.06103653538202531,0.057754442253904095,0.009142418003833176,0.0006464665766952415,0.00011603951536901385,-5.713362052150324,9429.378509521484
2,10.0,-30.0,31.6,14.142135623730951,-42.42640687119285,44.68914857098981,-71.6,0.043159347833170374,0.03968503280143576,0.00663437010605399,0.0610365350488474,0.0561231116110116,0.009382416181784183,0.000663437010605399,0.00011581050105782046,-6.067496555611022,9689.81523513794
3,10.0,-40.0,41.2,14.142135623730951,-56.568542494923804,58.26559876977152,-76.0,0.043159348745016604,0.03853634314122196,0.006801181131561056,0.061036536338392705,0.0544986191145795,0.009618322596409639,0.0006801181131561059,0.00011557514009486615,-6.424624909017301,9963.152599334717
4,10.0,-50.0,51.0,14.142135623730951,-70.71067811865476,72.12489168102785,-78.7,0.043159348952592255,0.03739264836031892,0.006964710944712947,0.06103653663194901,0.05288119044421109,0.00984958867602138,0.0006964710944712948,0.00011533401184546668,-6.786287594417856,10250.284099578857
5,10.0,-60.0,60.8,14.142135623730951,-84.8528137423857,85.98418459228418,-80.5,0.04315934830538378,0.036254267081382935,0.007124518615086418,0.06103653571665801,0.0512712762003882,0.010075590850834794,0.0007124518615086421,0.00011508468706668077,-7.153752337880019,10552.142238616943
6,10.0,-70.0,70.7,14.142135623730951,-98.99494936611666,99.98489885977783,-81.9,0.043159347604457395,0.03512134102013151,0.0072804191193512,0.061036534725398404,0.0496690767994005,0.010296067458346853,0.0007280419119351214,0.00011482866549036981,-7.525778757184184,10869.77710723877
7,10.0,-80.0,80.6,14.142135623730951,-113.13708498984761,113.98561312727146,-82.9,0.04315934892395662,0.03399408938074543,0.007432785241971662,0.061036536591452105,0.0480749022427734,0.010511545695402913,0.000743278524197167,0.00011456574429013983,-7.901813544389679,11204.270267486572
8,10.0,-90.0,90.6,14.142135623730951,-127.27922061357856,128.1277487510024,-83.7,0.04315934980307236,0.032872468688202865,0.00758251659840931,0.061036537834709505,0.0464886910475414,0.010723297810389554,0.0007582516598409307,0.00011429867905410549,-8.282294553872722,11556.830024719238
9,10.0,-100.0,100.5,14.142135623730951,-141.4213562373095,142.12846301849606,-84.3,0.04315934957643495,0.03175637325817425,0.007730897566350137,0.061036537514195806,0.0449102937534923,0.01093314018764952,0.0007730897566350145,0.00011402976318260698,-8.665499516378626,11928.739166259766
10,10.0,-110.0,110.5,14.142135623730951,-155.56349186104046,156.27059864222701,-84.8,0.043159349192027095,0.030645272985785933,0.00787807812909582,0.061036536970561,0.0433389606791243,0.011141284935602166,0.0007878078129095812,0.00011376432914764693,-9.047252728608687,12321.625518798828
11,10.0,-120.0,120.4,14.142135623730951,-169.7056274847714,170.27131290972068,-85.2,0.04315934948934386,0.02953852458649306,0.008023900517437014,0.0610365373910304,0.041773782082709605,0.01134750893489192,0.0008023900517437006,0.00011350687419042332,-9.42593164878772,12737.359523773193
12,10.0,-130.0,130.4,14.142135623730951,-183.84776310850236,184.41344853345163,-85.6,0.043159349314793205,0.028435654250105184,0.00816824565036603,0.061036537144178504,0.040214087895450897,0.011551643779542682,0.0008168245650366038,0.00011325919280529246,-9.802011944255892,13177.94303894043
13,10.0,-140.0,140.4,14.142135623730951,-197.9898987322333,198.55558415718258,-85.9,0.04315934921328166,0.02733647680836877,0.008311323689794918,0.0610365370006195,0.0386596162498927,0.011753986683380768,0.0008311323689794918,0.00011302051717794924,-10.178830286555751,13645.410442352295
14,10.0,-150.0,150.3,14.142135623730951,-212.13203435596427,212.5562984246762,-86.2,0.043159350090478804,0.026240866626102727,0.00845349829403605,0.0610365382411636,0.037110189471058,0.011955051936923604,0.0008453498294036047,0.00011278988976250721,-10.558488522787327,14141.913414001465
15,10.0,-160.0,160.3,14.142135623730951,-226.27416997969522,226.69843404840717,-86.4,0.04315935030143238,0.025148702561715173,0.008595073627974771,0.061036538539497004,0.0355656362388646,0.012155269694277245,0.0008595073627974771,0.00011256654837323253,-10.940672237681682,14669.764518737793
16,10.0,-170.0,170.3,14.142135623730951,-240.41630560342617,240.84056967213812,-86.6,0.043159350929476564,0.024059736417914954,0.008735958059863795,0.06103653942768561,0.0340256055493372,0.01235451036858193,0.0008735958059863805,0.00011235067359742123,-11.323619335939748,15231.575202941895
17,10.0,-180.0,180.3,14.142135623730951,-254.55844122715712,254.98270529586907,-86.8,0.04315934994932113,0.02297367993373389,0.008876057776119465,0.0610365380415365,0.0324896897399051,0.012552641287395321,0.000887605777611945,0.00011214261119770688,-11.706403675789723,15830.175113677979
18,10.0,-190.0,190.3,14.142135623730951,-268.70057685088807,269.12484091960005,-87.0,0.043159350834136995,0.021890346992542994,0.009015332289629235,0.061036539292855095,0.030957625601907398,0.012749605193293753,0.0009015332289629222,0.00011194212548207369,-12.089708704976523,16468.50118637085
19,10.0,-200.0,200.2,14.142135623730951,-282.842712474619,283.12555518709365,-87.1,0.04315935072396432,0.020809734114796582,0.009153730528613416,0.0610365391370474,0.029429408214523403,0.012945329859873733,0.0009153730528613412,0.00011174808304583868,-12.475439407035758,17149.499320983887
20,10.0,-210.0,210.2,14.142135623730951,-296.98484809834997,297.2676908108246,-87.3,0.0431593505934476,0.019731905724311265,0.00929140528380554,0.06103653895246889,0.0279051286867883,0.013140031365862833,0.0009291405283805541,0.00011155926128160161,-12.86650141556174,17876.029777526855
21,10.0,-220.0,220.2,14.142135623730951,-311.1269837220809,311.40982643455555,-87.4,0.043159350834320355,0.018656834829314857,0.009428397565047686,0.06103653929311441,0.026384748846571802,0.013333767707935904,0.0009428397565047682,0.000111375072750025,-13.26467907419194,18650.94575881958
22,10.0,-230.0,230.2,14.142135623730951,-325.2691193458119,325.5519620582865,-87.5,0.04315935125514612,0.017584593319275192,0.009564329111156704,0.06103653988825191,0.0248683703609343,0.01352600394399762,0.0009564329111156722,0.00011119459972117793,-13.670061619203505,19476.959323883057
23,10.0,-240.0,240.2,14.142135623730951,-339.4112549695428,339.69409768201746,-87.6,0.04315935025667945,0.016515303220853938,0.009698836815152819,0.0610365384762068,0.0233561658016357,0.013716226563232592,0.0009698836815152818,0.00011101686264927296,-14.082973380473225,20356.3383102417
24,10.0,-250.0,250.2,14.142135623730951,-353.5533905932738,353.8362333057484,-87.7,0.04315935062842557,0.015449007460006351,0.009832074491749245,0.0610365390019352,0.021848195875144104,0.013904653092494338,0.000983207449174927,0.00011084137267367686,-14.504396949294435,21290.4128074646
25,10.0,-260.0,260.2,14.142135623730951,-367.6955262170047,367.97836892947936,-87.8,0.043159350662487175,0.014385727086867276,0.009964193670180867,0.061036539050105594,0.0203444903508457,0.01409149782648193,0.0009964193670180849,0.00011066778298315345,-14.93348776514426,22279.263496398926
26,10.0,-270.0,270.2,14.142135623730951,-381.8376618407357,382.1205045532103,-87.9,0.04315935056111847,0.013325472408702322,0.010095423920412393,0.061036538906748594,0.0188450638054153,0.014277085426152969,0.0010095423920412367,0.00011049584500894871,-15.368643997881389,23321.03786468506
27,10.0,-280.0,280.2,14.142135623730951,-395.9797974644666,396.26264017694126,-88.0,0.04315935111479362,0.012268239303379965,0.010226030466015806,0.0610365396897635,0.0173499104092786,0.014461790974280016,0.0010226030466015837,0.00011032539932647732,-15.8079189836192,24411.156463623047
28,10.0,-290.0,290.2,14.142135623730951,-410.1219330881976,410.4047758006722,-88.0,0.043159350483138244,0.011214099052752453,0.01035643144521406,0.0610365387964679,0.0158591309701978,0.014646205807608916,0.0010356431445214128,0.00011015603941512342,-16.251049614961588,25541.058444976807
29,10.0,-300.0,300.2,14.142135623730951,-424.26406871192853,424.54691142440316,-88.1,0.04315935030597144,0.010163134767803679,0.010486751905883222,0.06103653854591621,0.014372843024853501,0.014830506770541955,0.0010486751905883196,0.00010998738512722588,-16.69736230099432,26697.57080078125
30,20.0,-10.0,22.4,28.284271247461902,-14.142135623730951,31.67838379715733,-26.6,0.04313540084915194,0.04197399145520103,0.009684967125416541,0.0610026688992706,0.059360187982877705,0.013696611859901642,0.000484248356270827,0.00011614093939509087,-10.658075686828543,9050.73528289795
31,20.0,-20.0,28.3,28.284271247461902,-28.284271247461902,40.022243815158596,-45.0,0.043135400725409105,0.040816893099656484,0.009837674280017845,0.061002668724271805,0.057723803795467,0.013912572389010211,0.0004918837140008922,0.00011592538128763101,-11.26985028933199,9285.951232910156
32,20.0,-30.0,36.1,28.284271247461902,-42.42640687119285,51.05310960166874,-56.3,0.04313540114366785,0.039664538229731074,0.009986948418103905,0.061002669315778996,0.0560941279097518,0.01412367789960307,0.0004993474209051953,0.00011569543046455928,-11.883573738878225,9531.864547729492
33,20.0,-40.0,44.7,28.284271247461902,-56.568542494923804,63.21534623807736,-63.4,0.04313540162203231,0.038517276767232766,0.010132184352404604,0.061002669992288504,0.0544716551898987,0.014329072527635048,0.0005066092176202301,0.00011545312136998862,-12.499952602668195,9789.106559753418
34,20.0,-50.0,53.9,28.284271247461902,-70.71067811865476,76.22611101190982,-68.2,0.043135402242903104,0.03737543917710733,0.01027289145417295,0.0610026708703324,0.0528568529839159,0.014528062419278053,0.0005136445727086474,0.00011519926131591543,-13.117610482008624,10058.353614807129
35,20.0,-60.0,63.2,28.284271247461902,-84.8528137423857,89.37829714197962,-71.6,0.04313540160695453,0.03623893239212334,0.010408983808727625,0.061002669970965304,0.051249589674862504,0.014720526072824562,0.0005204491904363813,0.00011494115358051983,-13.734657946313504,10340.414428710938
36,20.0,-70.0,72.8,28.284271247461902,-98.99494936611666,102.95474734076133,-74.1,0.043135401490969505,0.0351075571119319,0.010540979008716107,0.06100266980693771,0.049649583409482105,0.014907195474816422,0.0005270489504358054,0.00011468349112910865,-14.350951835262103,10636.144161224365
37,20.0,-80.0,82.5,28.284271247461902,-113.13708498984761,116.67261889578035,-76.0,0.04313540164097146,0.03398106238084926,0.010669890016914868,0.0610026700190725,0.048056479282843206,0.0150895031709503,0.0005334945008457435,0.00011442924075152749,-14.965088213917001,10946.426963806152
38,20.0,-90.0,92.2,28.284271247461902,-127.27922061357856,130.39049045079938,-77.5,0.04313540224141875,0.032859344906285906,0.010796654545982703,0.0610026708682332,0.04647013121716481,0.01526877528718587,0.000539832727299135,0.00011417841483480937,-15.574576498892316,11272.15404510498
39,20.0,-100.0,102.0,28.284271247461902,-141.4213562373095,144.2497833620557,-78.7,0.043135402936814074,0.03174237857474582,0.010922245501223593,0.0610026718516707,0.044890502282386696,0.01544638771939893,0.0005461122750611796,0.00011393024362068252,-16.179498277904184,11614.220237731934
40,20.0,-110.0,111.8,28.284271247461902,-155.56349186104046,158.10907627331204,-79.7,0.04313540229163627,0.03063018979301156,0.01104748113150749,0.0610026709392515,0.0433176298233389,0.01562349764623876,0.000552374056575375,0.00011368374998749732,-16.781126554837048,11973.538303375244
41,20.0,-120.0,121.7,28.284271247461902,-169.7056274847714,172.10979054080568,-80.5,0.04313540238045631,0.02952279027493939,0.011172985017061142,0.061002671064862006,0.0417515304059158,0.015800986943319256,0.0005586492508530574,0.00011343843421264097,-17.37843764352381,12351.058769226074
42,20.0,-130.0,131.5,28.284271247461902,-183.84776310850236,185.96908345206202,-81.3,0.04313540210675309,0.028419699955752543,0.011298456707681119,0.061002670677787196,0.0401915251159993,0.015978430709887907,0.0005649228353840562,0.00011319770885385035,-17.969109915494556,12748.065185546875
43,20.0,-140.0,141.4,28.284271247461902,-197.9898987322333,199.96979771955566,-81.9,0.04313540268063141,0.02732034335385585,0.011423545907364897,0.0610026714893737,0.0386368000997126,0.016155333552587102,0.000571177295368246,0.00011296470947696826,-18.552184060675714,13165.976238250732
44,20.0,-150.0,151.3,28.284271247461902,-212.13203435596427,213.97051198704932,-82.4,0.0431354028919601,0.026224385375623212,0.011548109047609304,0.0610026717882376,0.037086881463105,0.016331492434892524,0.0005774054523804662,0.00011274011677557925,-19.128845138178715,13606.165409088135
45,20.0,-160.0,161.2,28.284271247461902,-226.27416997969522,227.97122625454293,-82.9,0.04313540263241896,0.025131786120344782,0.011672417382391928,0.06100267142119101,0.0355417127780515,0.016507290967858128,0.000583620869119597,0.00011252260320046361,-19.70388150546015,14069.834423065186
46,20.0,-170.0,171.2,28.284271247461902,-240.41630560342617,242.11336187827388,-83.3,0.04313540321327741,0.024042498076189543,0.01179657123912752,0.0610026722426489,0.0340012268526763,0.016682871035874527,0.0005898285619563763,0.00011231120668875219,-20.280048305031887,14558.189296722412
47,20.0,-180.0,181.1,28.284271247461902,-254.55844122715712,256.1140761457675,-83.7,0.04313540359072712,0.0229564478316011,0.011920648888951056,0.0610026727764434,0.032465319867360704,0.01685834333104235,0.0005960324444475525,0.00011210530977292236,-20.85765621745843,15072.389602661133
48,20.0,-190.0,191.0,28.284271247461902,-268.70057685088807,270.1147904132612,-84.0,0.043135402265455425,0.021873386424899416,0.012044466120574405,0.0610026709022262,0.0309336397371203,0.017033447339259582,0.0006022233060287207,0.00011190534652924216,-21.43565376185264,15613.654804229736
49,20.0,-200.0,201.0,28.284271247461902,-282.842712474619,284.2569260369921,-84.3,0.04313540186726203,0.020793164122576608,0.012167700594391396,0.0610026703390957,0.029405974706797497,0.017207727203483483,0.0006083850297195705,0.0001117111887234271,-22.013517389026585,16183.066654205322
50,20.0,-210.0,211.0,28.284271247461902,-296.98484809834997,298.3990616607231,-84.6,0.04313540252069502,0.019715884992929377,0.012289814233384688,0.06100267126318949,0.0278824719511889,0.01738042196789853,0.0006144907116692342,0.00011152151203697923,-22.59082900549239,16781.436920166016
51,20.0,-220.0,220.9,28.284271247461902,-311.1269837220809,312.39977592821674,-84.8,0.0431354026315343,0.018641671128285773,0.012410442491074172,0.061002671419939904,0.0263633041349207,0.017551016085928434,0.000620522124553708,0.00011133514319658422,-23.16862888881979,17409.201908111572
52,20.0,-230.0,230.9,28.284271247461902,-325.2691193458119,326.5419115519477,-85.0,0.04313540356978693,0.01757059377872463,0.012529578718084628,0.061002672746829495,0.024848572020820702,0.01771950015393658,0.0006264789359042317,0.00011115134691766218,-23.74855110126949,18066.212558746338
