,Worker,sliceNo,electricalAngle,IRMS_amps,currentAngle,IqRMS,IdRMS,Ia,Ib,Ic,wa,wb,wc,torque,blockTorque,Ia_q,Ib_q,Ic_q,wa_q,wb_q,wc_q,torque_q,blockTorque_q
0,0,0,0,125,-30,108.25317547305484,-62.49999999999999,-88.38834764831843,176.7766952966369,-88.38834764831844,0.010136605255401832,0.009490896776239904,-0.018353424241967727,-17.84655638821148,0,0.0,132.58252147247768,-132.58252147247768,0.012600118133027593,0.007502347040292898,-0.019373275649149663,-11.4006432020176,0
1,1,1,0,125,-30,108.25317547305484,-62.49999999999999,-88.38834764831843,176.7766952966369,-88.38834764831844,0.011551046236018808,0.0070429831648537245,-0.01732772803552883,-18.04181903494116,0,0.0,132.58252147247768,-132.58252147247768,0.014030656147856911,0.0055565848382793815,-0.01888195009934047,-13.08255566772762,0
2,2,2,0,125,-30,108.25317547305484,-62.49999999999999,-88.38834764831843,176.7766952966369,-88.38834764831844,0.012465659149418312,0.004398888629116443,-0.015772967656232328,-17.99712961039965,0,0.0,132.58252147247768,-132.58252147247768,0.015015996910582112,0.0033326068822512383,-0.017860147684211215,-14.37941067200198,0
3,3,3,0,125,-30,108.25317547305484,-62.49999999999999,-88.38834764831843,176.7766952966369,-88.38834764831844,0.013228039687273336,0.0015725668026922008,-0.013711208957421528,-15.89284670936011,0,0.0,132.58252147247768,-132.58252147247768,0.015816855919166168,0.0007876426140467725,-0.01620011539326689,-13.28959223027993,0
